1451606340,2015-12-31 23:59:00,BTCUSD,429.95,429.95,429.95,429.95,0.0
1451606280,2015-12-31 23:58:00,BTCUSD,429.95,429.95,429.95,429.95,0.0
1451606220,2015-12-31 23:57:00,BTCUSD,429.95,429.95,429.95,429.95,0.0
1451606160,2015-12-31 23:56:00,BTCUSD,429.95,429.95,429.95,429.95,0.0
1451606100,2015-12-31 23:55:00,BTCUSD,429.95,429.95,429.95,429.95,0.0
1451606040,2015-12-31 23:54:00,BTCUSD,432.01,432.01,429.95,429.95,0.137
1451605980,2015-12-31 23:53:00,BTCUSD,432.01,432.01,432.01,432.01,0.0
1451605920,2015-12-31 23:52:00,BTCUSD,432.01,432.01,432.01,432.01,0.0
1451605860,2015-12-31 23:51:00,BTCUSD,432.01,432.01,432.01,432.01,0.0
1451605800,2015-12-31 23:50:00,BTCUSD,432.01,432.01,432.01,432.01,0.0
1451605740,2015-12-31 23:49:00,BTCUSD,432.01,432.01,432.01,432.01,0.0
1451605680,2015-12-31 23:48:00,BTCUSD,432.01,432.01,432.01,432.01,0.0
1451605620,2015-12-31 23:47:00,BTCUSD,432.01,432.01,432.01,432.01,0.0
1451605560,2015-12-31 23:46:00,BTCUSD,432.01,432.01,432.01,432.01,0.0
1451605500,2015-12-31 23:45:00,BTCUSD,432.01,432.01,432.01,432.01,0.0
1451605440,2015-12-31 23:44:00,BTCUSD,432.01,432.01,432.01,432.01,0.0
1451605380,2015-12-31 23:43:00,BTCUSD,432.01,432.01,432.01,432.01,0.0
1451605320,2015-12-31 23:42:00,BTCUSD,432.01,432.01,432.01,432.01,0.0
1451605260,2015-12-31 23:41:00,BTCUSD,432.01,432.01,432.01,432.01,0.0
1451605200,2015-12-31 23:40:00,BTCUSD,432.01,432.01,432.01,432.01,0.0
1451605140,2015-12-31 23:39:00,BTCUSD,432.01,432.01,432.01,432.01,0.0
1451605080,2015-12-31 23:38:00,BTCUSD,432.01,432.01,432.01,432.01,0.02012824
1451605020,2015-12-31 23:37:00,BTCUSD,432.01,432.01,432.01,432.01,0.0
